Date,Steps,Target Step,Step Distance (cm),Weight (kg),Distance (km),Calories (kcal),Walking Time (Mins)
2012-07-21,191,10000,85,72,0.16,8.6,1
2012-07-22,7882,10000,85,72,6.69,357.8,62
2012-07-23,6504,10000,85,72,5.52,295.2,54
2012-07-24,7596,10000,85,72,6.45,344.8,66
2012-07-25,4656,10000,85,72,3.95,211.3,39
2012-07-26,2755,10000,85,72,2.34,125,19
2012-07-27,4287,10000,85,72,3.64,194.6,34
2012-07-28,6255,10000,85,72,5.31,283.9,50
2012-07-29,7509,10000,85,72,6.38,340.8,59
2012-07-30,11710,10000,84,72,9.83,531.5,92
2012-07-31,9285,10000,85,72,7.89,421.5,77
2012-08-01,6364,10000,84,72,5.34,288.9,52
2012-08-02,11456,10000,84,72,9.62,520,95
2012-08-03,8579,10000,84,72,7.2,389.4,70
2012-08-04,7602,10000,84,72,6.38,345.1,62
2012-08-05,6351,10000,84,72,5.33,288.3,45
2012-08-06,6133,10000,84,72,5.15,278.4,45
2012-08-07,8404,10000,84,72,7.05,381.5,71
2012-08-08,9251,10000,84,72,7.77,419.9,77
2012-08-09,3946,10000,84,72,3.31,179.1,24
2012-08-10,6210,10000,84,72,5.21,281.9,49
2012-08-11,11990,10000,84,72,10.07,544.2,95
2012-08-12,5731,10000,84,72,4.81,260.1,46
2012-08-13,3711,10000,84,72,3.11,168.4,30
